division,name,city,gender,age,official,bib,overall,state,genderdiv,net,country
1012     / 3254,"Bero, Jane E.",Hartland,F,35,224.62,8570,6242     / 13408,WI,1231     / 4814,218.75,USA
355      / 1311,"Buffaloe, Brian T.",Plainfield,M,51,214.63,8571,4832     / 13408,NJ,4170     / 8594,208.58,USA
788      / 1311,"Johnson, Jon R.",Rockville,M,53,238.07,8572,8220     / 13408,MD,5916     / 8594,232.32,USA
502      / 3254,"Le Sauteur, Marie-Claude",Montreal,F,31,213.50,8573,4666     / 13408,PQ,611      / 4814,207.82,CAN
282      / 3254,"Sturdevant, Patty A.",Portland,F,35,206.25,8574,3644     / 13408,OR,344      / 4814,200.58,USA
739      / 1311,"Segall, Cary",Madison,M,51,234.55,8575,7733     / 13408,WI,5723     / 8594,228.63,USA
672      / 1311,"Kleindl, Gregory M.",Menomonie,M,50,230.45,8577,7123     / 13408,WI,5431     / 8594,225.23,USA
1033     / 1311,"Garcia Alvarez, Enrique",Allston,M,52,267.70,8578,10928    / 13408,MA,7213     / 8594,262.40,USA
458      / 1311,"Emsley, David C.",Sandford,M,53,219.58,8579,5496     / 13408,ON,4595     / 8594,214.42,CAN
702      / 3254,"Smith, Patrice",Wooster,F,38,218.57,8580,5349     / 13408,OH,844      / 4814,214.63,USA
202      / 3254,"Anderson, Jennifer K.",New York,F,27,202.68,8581,3166     / 13408,NY,253      / 4814,196.97,USA
476      / 1311,"Parker, John E. II",Hilton Head,M,54,220.88,8582,5689     / 13408,SC,4703     / 8594,214.98,USA
845      / 3254,"Drower, Katie P.",East Stroudsburg,F,27,221.45,8583,5785     / 13408,PA,1017     / 4814,216.15,USA
174      / 3254,"Toselli, Tamara",Charlestown,F,33,201.17,8584,2944     / 13408,MA,218      / 4814,197.15,USA
321      / 1311,"Amster, Michael B.",Concord,M,50,213.17,8586,4612     / 13408,MA,4020     / 8594,208.33,USA
284      / 1311,"Ervin, Gregory A.",Akron,M,53,211.10,8587,4322     / 13408,OH,3815     / 8594,206.95,USA
948      / 3254,"Anderson, Tania S.",Syracuse,F,34,223.45,8588,6080     / 13408,NY,1155     / 4814,217.77,USA
540      / 1311,"Stevens, Doug L.",Laguna Niguel,M,50,223.42,8589,6072     / 13408,CA,4921     / 8594,218.30,USA
134      / 1263,"Doucett, Lisa D.",Andover,F,45,218.97,8590,5408     / 13408,MA,870      / 4814,213.25,USA
734      / 1311,"Policelli, Neil W.",Bangor,M,51,233.90,8591,7651     / 13408,PA,5687     / 8594,229.05,USA
206      / 1263,"Gallagher, Catherine S.",Chevy Chase,F,40,225.00,8592,6319     / 13408,MD,1269     / 4814,219.57,USA
1157     / 3254,"Nguyen, Nhi Thi",Sugar Land,F,39,226.70,8593,6586     / 13408,TX,1413     / 4814,222.08,USA
734      / 3254,"Bennett, Nancy L.",Binghamton,F,28,219.13,8594,5436     / 13408,NY,881      / 4814,214.33,USA
79       / 266,"Helling, Dorothy L.",Montpelier,F,51,248.38,8595,9398     / 13408,VT,2960     / 4814,243.12,USA
911      / 1311,"Belak, Ray M.",Las Vegas,M,53,249.07,8596,9470     / 13408,NV,6475     / 8594,244.52,USA
631      / 3254,"Federico, Carm",Toronto,F,32,216.82,8598,5110     / 13408,ON,764      / 4814,211.25,CAN
529      / 1311,"Uebelacker, Johnny J.",Myrtle Beach,M,52,222.95,8599,5994     / 13408,SC,4879     / 8594,217.70,USA
924      / 1311,"Parker, Richard E.",San Francisco,M,55,250.65,8600,9634     / 13408,CA,6563     / 8594,245.88,USA
